param nbutik :=          100 ;
         71
         61
         37
         33
         41
         21
         24
         30
         38
         33
         32
         72
         67
          6
         30
         62
         44
         31
         55
         51
         47
         54
         73
         74
         44
         51
         52
         35
         39
         44
         53
         49
         47
         74
         17
         85
         47
         47
         59
         61
         47
         42
         41
         47
         75
         57
         47
         34
         35
         15
         19
         21
         34
         31
         28
         76
         27
         78
         52
         20
         32
         43
         30
         24
         36
         20
         77
         37
         49
         22
         48
         44
         37
         37
         36
         26
         36
         78
         86
         28
         47
         71
         46
         37
         55
         59
         56
         61
         79
         14
         60
         33
         31
         40
         36
         34
         27
         22
         29
         80
         25
         60
         29
         40
         41
         33
         34
         24
         23
         30
         81
         63
         29
         33
         57
         28
         26
         37
         44
         37
         41
         82
         19
         73
         41
         13
         31
         35
         20
         20
         25
         12
         83
         21
         98
         66
         35
         58
         64
         46
         43
         52
         40
         84
         83
         38
         53
         68
         46
         43
         64
         69
         58
         68
         85
         71
         34
         46
         52
         37
         33
         39
         54
         46
         50
         86
         29
         55
         24
         32
         23
         21
         21
         18
         13
         18
         87
         19
         74
         41
         44
         49
         52
         39
         31
         41
         35
         88
         27
         72
         49
         53
         50
         55
         49
         40
         47
         50
         89
         17
         70
         40
         16
         33
         44
         21
         22
         28
         13
         90
         21
         85
         54
         22
         49
         51
         34
         30
         38
         31
         91
         51
         33
         14
         51
         29
         16
         31
         32
         22
         37
         92
         73
         18
         32
         57
         35
         31
         47
         46
         45
         48
         93
         63
         19
         20
         54
         34
         22
         41
         43
         39
         51
         94
         59
         47
         38
         32
         18
         28
         27
         37
         38
         33
         95
         46
         41
         34
         32
         10
         22
         24
         29
         20
         22
         96
         25
         61
         29
         29
         30
         33
         34
         17
         22
         28
         97
         22
         78
         53
         38
         48
         56
         45
         33
         37
         38
         98
         43
         42
         15
         39
         12
         10
         19
         26
         10
         26
         99
         49
         40
         29
         30
         10
          9
         16
         22
         16
         24
        100
         59
         42
         34
         40
         25
         22
         30
         44
         39
         35
 ;
param distBuB :
          1
          2
          3
          4
          5
 :=
          1
         30
         10
         55
         56
         80
          2
         19
         33
         63
         74
         85
          3
         28
         33
         47
         65
         73
          4
         40
         40
         38
         47
         58
          5
         77
         53
         23
         11
         40
          6
         19
         25
         49
         64
         76
          7
         37
         19
         48
         41
         68
          8
         60
         56
         18
         39
         41
          9
         64
         46
          7
         27
         32
         10
         40
         23
         33
         37
         59
         11
         16
         18
         60
         67
         84
         12
         84
         65
         22
         21
         14
         13
         89
         75
         31
         26
         11
         14
         39
         20
         65
         69
         89
         15
         35
         34
         36
         45
         64
         16
         51
         45
         21
         32
         42
         17
         50
         30
         20
         36
         51
         18
         94
         78
         43
         38
         26
         19
         17
         22
         52
         66
         82
         20
         62
         50
         23
         37
         36
         21
         60
         45
         12
         16
         36
         22
         74
         66
         25
         32
         27
         23
         40
         29
         22
         32
         52
         24
         26
         39
         60
         62
         77
         25
         83
         75
         29
         26
         12
         26
         32
         20
         59
         65
         89
         27
         40
         33
         41
         46
         56
         28
         84
         70
         36
         42
         22
         29
         27
         33
         57
         65
         86
         30
         33
         27
         35
         48
         67
         31
         31
         22
         64
         68
         91
         32
         41
         25
         26
         38
         58
         33
         52
         30
         35
         28
         53
         34
         93
         76
         33
         26
         12
         35
         26
          6
         52
         52
         81
         36
         88
         68
         34
         34
         19
         37
         79
         70
         26
         22
         10
         38
         52
         26
         19
         25
         46
         39
         77
         65
         23
         12
         21
         40
         53
         30
         39
         32
         56
         41
         57
         48
         15
         26
         31
         42
         78
         59
         22
         10
         16
         43
         76
         49
         30
         16
         39
         44
         98
         71
         33
         33
         20
         45
         23
         16
         45
         45
         68
         46
         47
         38
         30
         44
         48
         47
         44
         19
         28
         34
         59
         48
         82
         63
         20
         29
         13
         49
         72
         57
         21
          8
         38
         50
         73
         54
         15
         13
         35
         51
         74
         46
         20
          7
         32
         52
         26
         28
         74
         81
        102
         53
         52
         31
         19
         26
         46
         54
         18
         23
         66
         72
         96
         55
         47
         28
         24
         30
         51
         56
         63
         54
         25
         31
         36
         57
         89
         74
         31
         21
         27
         58
         87
         71
         22
         25
          7
         59
         14
         20
         55
         66
         89
         60
         97
         78
         39
         43
         17
         61
         46
         27
         34
         40
         55
         62
         56
         34
         26
         29
         51
         63
         36
         21
         33
         34
         54
         64
         81
         60
         18
         26
         18
         65
         35
         16
         57
         58
         81
         66
         21
         17
         54
         65
         85
         67
         64
         52
         35
         43
         40
         68
         26
         28
         73
         75
         95
         69
         72
         54
         11
         25
         27
         70
         44
         21
         31
         36
         57
         71
         70
         52
         23
         27
         29
         72
         86
         58
         27
         18
         24
         73
         86
         67
         28
         39
         23
         74
         22
         27
         65
         67
         94
         75
         62
         47
         21
         35
         41
         76
         27
         37
         58
         64
         80
         77
         47
         19
         40
         45
         68
         78
         91
         71
         37
         34
          9
         79
         25
          5
         45
         47
         69
         80
         38
          9
         47
         46
         72
         81
         74
         61
         12
         23
         18
         82
         24
         32
         44
         57
         70
         83
         15
         34
         77
         82
        103
         84
         94
         84
         43
         43
         20
         85
         75
         65
         29
         38
         23
         86
         39
         15
         33
         36
         65
         87
         30
         18
         60
         62
         83
         88
         40
         24
         63
         65
         85
         89
         26
         26
         52
         54
         76
         90
         11
         29
         65
         67
         89
         91
         59
         42
         14
         12
         33
         92
         77
         60
         19
         11
         19
         93
         74
         55
         12
          8
         27
         94
         60
         49
         29
         44
         45
         95
         60
         41
         18
         31
         43
         96
         38
         14
         44
         43
         68
         97
         21
         19
         65
         68
         84
         98
         54
         33
         15
         24
         47
         99
         57
         46
         20
         29
         46
        100
         71
         61
         23
         38
         32
 ;
param distGB :
          1
          2
          3
          4
          5
 :=
          1
         15
         20
         58
         63
         83
          2
         88
         68
         30
         22
         20
          3
         60
         33
         19
         21
         42
          4
         35
         30
         49
         58
         67
          5
         50
         41
         27
         37
         51
          6
         60
         40
         17
         23
         43
          7
         41
         33
         27
         41
         58
          8
         33
         23
         36
         48
         61
          9
         37
         28
         24
         38
         54
         10
         33
         28
         39
         42
         66
 ;
param : distGR :=
          1          82
          2          28
          3          45
          4          71
          5          46
          6          39
          7          54
          8          62
          9          53
         10          64
 ;
param : distBR :=
          1          92
          2          74
          3          29
          4          30
          5           9
 ;
param : distRM :=
          1          54
          2          37
          3          56
 ;
param distMT :
          1
          2
          3
 :=
          1
         34
         20
         25
          2
         56
         40
         27
          3
         53
         42
         18
 ;
param distTB :
          1
          2
          3
          4
          5
 :=
          1
         21
         11
         58
         61
         84
          2
         32
         14
         42
         40
         61
          3
         60
         31
         31
         27
         51
 ;
param distBuL :
          1
          2
          3
          4
          5
          6
          7
          8
          9
         10
 :=
          1
         38
         45
         82
         81
         72
         29
         35
         56
         25
         57
          2
         24
         56
         83
         90
         81
         53
         19
         69
         44
         79
          3
         29
         51
         73
         76
         69
         52
         34
         61
         41
         73
          4
         44
         42
         53
         60
         61
         49
         45
         46
         31
         60
          5
         86
         21
         47
         52
         27
         28
         77
         12
         32
         12
          6
         29
         54
         71
         82
         66
         42
         30
         58
         35
         69
          7
         52
         37
         69
         81
         59
         16
         46
         45
         19
         48
          8
         66
         26
         31
         39
         38
         45
         71
         37
         34
         52
          9
         72
         18
         31
         32
         30
         33
         76
         25
         28
         37
         10
         43
         33
         56
         64
         55
         26
         45
         39
          8
         51
         11
         28
         58
         86
         87
         73
         33
         29
         59
         32
         69
         12
         92
         24
         20
         27
          5
         45
         93
         18
         45
         27
         13
        103
         31
         15
         23
         14
         57
         95
         26
         60
         36
         14
         39
         62
         94
         94
         75
         36
         43
         62
         36
         68
         15
         47
         36
         57
         62
         51
         39
         47
         49
         26
         61
         16
         55
         18
         37
         41
         36
         31
         57
         30
         23
         51
         17
         52
         18
         47
         57
         45
         22
         52
         34
         10
         43
         18
         97
         44
         13
          7
         38
         68
         99
         40
         61
         57
         19
         21
         50
         81
         84
         75
         42
         25
         57
         37
         66
         20
         66
         30
         35
         35
         43
         45
         64
         33
         32
         53
         21
         68
         11
         41
         44
         29
         24
         69
         15
         23
         24
         22
         87
         29
         20
         24
         28
         54
         80
         26
         46
         40
         23
         47
         22
         45
         54
         42
         22
         51
         29
         12
         41
         24
         29
         52
         79
         85
         75
         49
         20
         61
         40
         75
         25
         92
         29
         13
         12
         19
         58
         98
         32
         50
         39
         26
         42
         57
         86
         97
         79
         38
         40
         58
         43
         67
         27
         40
         35
         55
         65
         59
         34
         41
         49
         29
         58
         28
         92
         34
         17
         15
         31
         62
         88
         45
         61
         52
         29
         26
         62
         79
         82
         79
         52
         20
         65
         41
         77
         30
         39
         38
         63
         67
         58
         33
         43
         45
         26
         55
         31
         31
         57
         92
         93
         78
         37
         35
         65
         35
         64
         32
         53
         31
         51
         57
         49
         24
         52
         40
         17
         51
         33
         52
         25
         55
         60
         48
          9
         60
         25
         18
         35
         34
         94
         38
         27
         30
         13
         57
        104
         28
         52
         28
         35
         38
         43
         75
         87
         71
         26
         36
         58
         26
         60
         36
         92
         34
          7
          8
         30
         60
         92
         34
         51
         49
         37
         91
         31
         12
         23
         17
         45
         90
         23
         45
         30
         38
         59
         20
         51
         52
         34
         13
         57
         28
         11
         40
         39
         92
         29
         30
         37
          4
         39
         91
         18
         45
         18
         40
         61
         31
         59
         62
         46
         15
         60
         33
         21
         30
         41
         63
         13
         32
         36
         33
         27
         65
         16
         31
         37
         42
         90
         21
         27
         32
          8
         40
         88
         14
         46
         17
         43
         85
         27
         50
         46
         29
         30
         84
         19
         38
         12
         44
        103
         39
         31
         37
         16
         57
        107
         32
         54
         31
         45
         36
         36
         73
         71
         60
         26
         34
         46
         23
         58
         46
         54
         30
         41
         50
         52
         38
         49
         36
         29
         57
         47
         47
         27
         55
         61
         51
         12
         44
         32
         12
         41
         48
         92
         31
         18
         19
         19
         54
         94
         22
         49
         31
         49
         85
         18
         43
         47
         23
         27
         85
         16
         37
          8
         50
         80
         17
         41
         39
         24
         33
         83
          5
         36
         12
         51
         77
         19
         34
         43
         17
         25
         81
          9
         30
         18
         52
         36
         66
        103
        104
         85
         50
         38
         77
         52
         78
         53
         58
         13
         45
         54
         43
         23
         52
         21
         16
         41
         54
         23
         62
         91
        103
         78
         47
         27
         65
         38
         77
         55
         58
         20
         57
         53
         42
         13
         54
         31
         15
         36
         56
         75
         22
         23
         34
         37
         41
         67
         35
         34
         43
         57
        100
         36
         37
         33
         17
         54
        104
         29
         57
         22
         58
         98
         25
         19
         25
         15
         51
         92
         30
         54
         34
         59
         20
         58
         84
         91
         76
         36
         19
         60
         34
         70
         60
        101
         47
         13
         10
         33
         61
         98
         38
         66
         54
         61
         47
         30
         52
         59
         46
         28
         51
         40
         20
         51
         62
         66
         25
         56
         64
         40
          8
         67
         28
         19
         31
         63
         50
         24
         52
         61
         43
         23
         50
         38
         15
         50
         64
         80
         18
         16
         27
         19
         43
         80
         28
         44
         35
         65
         41
         55
         84
         84
         68
         31
         54
         60
         38
         61
         66
         23
         49
         81
         93
         75
         37
         36
         57
         29
         64
         67
         62
         34
         35
         40
         47
         45
         63
         41
         40
         58
         68
         33
         70
         98
        103
         89
         46
         39
         74
         45
         82
         69
         74
         15
         24
         34
         25
         43
         76
         24
         34
         43
         70
         52
         27
         56
         67
         50
         14
         53
         35
          8
         41
         71
         70
         21
         31
         38
         37
         38
         73
         28
         40
         44
         72
         94
         23
         26
         35
          5
         42
         90
         17
         49
         18
         73
         85
         31
         15
         23
         37
         56
         82
         43
         47
         52
         74
         32
         65
         94
         94
         78
         42
         35
         71
         41
         68
         75
         63
         25
         37
         42
         33
         35
         63
         27
         29
         49
         76
         22
         52
         79
         78
         77
         51
         25
         60
         34
         78
         77
         56
         37
         70
         74
         53
         10
         59
         41
         21
         38
         78
         96
         31
         10
         12
         26
         59
         95
         31
         61
         35
         79
         40
         44
         76
         79
         67
         23
         41
         53
         18
         54
         80
         38
         39
         76
         75
         60
         24
         42
         48
         21
         49
         81
         77
         16
         25
         28
         15
         38
         77
         25
         42
         29
         82
         31
         49
         72
         73
         61
         37
         30
         58
         26
         65
         83
          5
         73
         99
         98
         93
         54
         10
         81
         53
         91
         84
        106
         43
          7
          8
         36
         61
        104
         40
         66
         44
         85
         86
         28
         13
         23
         35
         57
         83
         40
         53
         49
         86
         46
         34
         59
         62
         54
         12
         49
         40
         12
         47
         87
         33
         55
         79
         94
         75
         35
         41
         54
         32
         63
         88
         39
         54
         92
         90
         78
         34
         51
         57
         36
         67
         89
         27
         48
         67
         78
         67
         39
         30
         51
         31
         63
         90
         14
         66
         81
         95
         81
         52
         11
         70
         44
         79
         91
         73
         16
         38
         46
         24
         20
         68
         13
         23
         20
         92
         86
         26
         28
         34
          5
         35
         88
         11
         44
         20
         93
         81
         18
         32
         31
         11
         40
         79
         10
         32
         25
         94
         71
         34
         36
         36
         40
         44
         61
         37
         38
         57
         95
         65
         25
         36
         42
         41
         34
         59
         35
         33
         49
         96
         46
         36
         72
         71
         53
         17
         42
         42
         14
         47
         97
         28
         63
         93
         96
         74
         35
         32
         60
         38
         70
         98
         58
         15
         48
         47
         41
         19
         61
         27
         17
         33
         99
         62
         18
         42
         46
         38
         29
         57
         29
         28
         42
        100
         76
         21
         29
         34
         37
         44
         77
         36
         44
         45
 ;
param : distLR :=
          1          97
          2          36
          3          11
          4           5
          5          21
          6          61
          7          96
          8          40
          9          58
         10          45
 ;
end ;
